Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
-2002, UM_REGISTER_PHONE_OTP_MAX_RETRY ,, Sai otp quá số lần cho phép ,,,
-2001, UM_REGISTER_PHONE_EXPIRE,, Hết thời gian đăng ký ,,,
-1343,K3_EXCEED_MAX_FUND_OUT_PER_MONTH,,Tài khoản của bạn vượt hạn mức chi tiêu tối đa 100 triệu đồng/tháng,,,
-1342,K2_EXCEED_MAX_FUND_OUT_PER_MONTH,,Tài khoản của bạn vượt hạn mức chi tiêu tối đa 20 triệu đồng/tháng. Vui lòng cập nhật phiên bản mới nhất,,,
-1341,K1_EXCEED_MAX_FUND_OUT_PER_MONTH,,Bạn cần nâng cấp tài khoản để tiếp tục giao dịch.,,,
-1340,K0_EXCEED_MAX_FUND_OUT_PER_MONTH,,Bạn cần nâng cấp tài khoản để tiếp tục giao dịch.,,,
-1333,K3_EXCEED_MAX_FUND_OUT_PER_DAY,,Tài khoản của bạn vượt hạn mức chi tiêu tối đa 50 triệu đồng/ngày,,,
-1332,K2_EXCEED_MAX_FUND_OUT_PER_DAY,,Tài khoản của bạn vượt hạn mức chi tiêu tối đa 20 triệu đồng/ ngày. Vui lòng cập nhật phiên bản mới nhất,,,
-1331,K1_EXCEED_MAX_FUND_OUT_PER_DAY,,Bạn cần nâng cấp tài khoản để tiếp tục giao dịch.,,,
-1330,K0_EXCEED_MAX_FUND_OUT_PER_DAY,,Bạn cần nâng cấp tài khoản để tiếp tục giao dịch.,,,
-1009, RANDCAMPAIGN_RULE_NOT_PASS,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-1008, RANDCAMPAIGN_EXPIRE ,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-1007, RANDCAMPAIGN_NOT_ACTIVE ,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-1006, RANDCAMPAIGN_INFO_INVALID ,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-1005, RANDCAMPAIGN_DAILY_CAPACITY_NOT_ENOUGHT ,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-1004, RANDCAMPAIGN_DAILY_CAPACITY_NOT_FOUND ,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-1003, RANDCAMPAIGN_TOTAL_CAPACITY_NOT_ENOUGHT ,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-1002, RANDCAMPAIGN_TOTAL_CAPACITY_NOT_FOUND ,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-1001, RANDCAMPAIGN_PARVALUE_NOTFOUND,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-1000, RANDCAMPAIGN_TRYLOCKFAIL,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-999, SYSTEM_MAINTAIN ,," Hệ thống đang bảo trì, vui lòng quay lại sau. ",,,
